Judge ," hakim,"
Switch ," keçid, dəyişmək,"
Purse ," pul kisəsi,"
Well,"known , tanınmış,"
Fictional ," uydurma,"
Minister ," nazir,"
Prime minister ," baş nazir,"
Stagnant ," durğun,"
Elected ," seçilmiş,"
Disenchantment ," inciklik,"
Millennial ," minillik,"
Staff ," heyət,"
Rough ," kobud,"
Uppermost ," ən üst,"
Surface ," səthi, yerüstü,"
Occurs ," meydana gəlmək, baş vermək,"
Loud ," ucadan,"
Noise ," səs küy,"
Hired ," muzdlu, kirəli,"
Fence ," hasar, çəpər,"
